"subject","app","variant","expected_faults","relui_detected","relational_violations","structural_detected","structural_alerts","visual_detected","visual_alerts"
"auth-clean","auth","clean","0","false","0","false","0","false","0"
"auth-auth-bypass","auth","auth-bypass","1","true","4","true","1","false","0"
"auth-logout-retains-access","auth","logout-retains-access","1","true","1","false","0","false","0"
"auth-role-escalation","auth","role-escalation","1","true","1","false","0","false","0"
"auth-invalid-login-dashboard","auth","invalid-login-dashboard","1","true","1","false","0","false","0"
"checkout-clean","checkout","clean","0","false","0","false","0","false","0"
"checkout-invalid-step-progression","checkout","invalid-step-progression","1","true","9","true","2","false","0"
"checkout-skip-payment","checkout","skip-payment","1","true","1","false","0","false","0"
"checkout-negative-total","checkout","negative-total","1","true","14","true","1","false","0"
"checkout-back-loses-contact","checkout","back-loses-contact","1","true","1","false","0","false","0"
"settings-clean","settings","clean","0","false","0","false","0","false","0"
"settings-alt-save-stale","settings","alt-save-stale","1","true","1","false","0","false","0"
"settings-cancel-persists-change","settings","cancel-persists-change","1","true","1","false","0","false","0"
"settings-reset-does-not-clear","settings","reset-does-not-clear","1","true","1","false","0","false","0"
"settings-stale-notification","settings","stale-notification","1","true","1","false","0","false","0"
