"id","fault_id","subject","app","variant","invariant","type","severity","trace_ids","start_url","end_url","replay_steps"
"v_02d91397e356","F-AUTH-1","auth-auth-bypass","auth","auth-bypass","auth-dashboard-requires-login","auth-precondition","critical","t_7ef308de435b","/auth/auth-bypass","/auth/auth-bypass/dashboard","1. default -> Open Dashboard ([data-testid=""home-dashboard""])"
"v_69e967be99b7","F-AUTH-2","auth-logout-retains-access","auth","logout-retains-access","auth-logout-clears-protected-access","action-forbidden-state","critical","t_519eb8b00d1d","/auth/logout-retains-access","/auth/logout-retains-access/dashboard","1. default -> Login ([data-testid=""home-login""]) | 2. valid -> User Login ([data-testid=""user-login-submit""]) | 3. default -> Logout ([data-testid=""logout""]) | 4. default -> Dashboard ([data-testid=""nav-dashboard""])"
"v_55cc6dd4d85c","F-AUTH-3","auth-role-escalation","auth","role-escalation","auth-admin-requires-admin-login","auth-precondition","critical","t_50263663be80","/auth/role-escalation","/auth/role-escalation/admin","1. default -> Login ([data-testid=""home-login""]) | 2. valid -> User Login ([data-testid=""user-login-submit""]) | 3. default -> Admin ([data-testid=""nav-admin""])"
"v_74667be014c3","F-AUTH-4","auth-invalid-login-dashboard","auth","invalid-login-dashboard","auth-invalid-login-blocks-dashboard","validation-blocking","high","t_97c034278884","/auth/invalid-login-dashboard","/auth/invalid-login-dashboard/dashboard","1. default -> Login ([data-testid=""home-login""]) | 2. invalid -> User Login ([data-testid=""user-login-submit""])"
"v_18a1939e81f6","F-CHECKOUT-1","checkout-invalid-step-progression","checkout","invalid-step-progression","checkout-invalid-contact-blocks-payment","validation-blocking","high","t_a37ea7ad8870","/checkout/invalid-step-progression","/checkout/invalid-step-progression/payment","1. valid -> Continue to Contact ([data-testid=""cart-next""]) | 2. invalid -> Continue to Payment ([data-testid=""contact-next""])"
"v_3f65e0ddcfb0","F-CHECKOUT-2","checkout-skip-payment","checkout","skip-payment","checkout-express-review-requires-payment","action-forbidden-state","critical","t_8afe859b172a","/checkout/skip-payment","/checkout/skip-payment/review","1. valid -> Continue to Contact ([data-testid=""cart-next""]) | 2. valid -> Continue to Payment ([data-testid=""contact-next""]) | 3. default -> Back to Contact ([data-testid=""payment-back""]) | 4. default -> Express Review ([data-testid=""express-review""])"
"v_c633136d65f9","F-CHECKOUT-3","checkout-negative-total","checkout","negative-total","checkout-invalid-cart-blocks-contact","validation-blocking","high","t_f39c85fe9554","/checkout/negative-total","/checkout/negative-total/contact","1. invalid -> Continue to Contact ([data-testid=""cart-next""])"
"v_5eb4d41bcc6a","F-CHECKOUT-4","checkout-back-loses-contact","checkout","back-loses-contact","checkout-confirmation-paths-equivalent","path-equivalence","medium","t_ef4755e9d517|t_d9d4b91b6e80","/checkout/back-loses-contact","/checkout/back-loses-contact/confirmation","1. valid -> Continue to Contact ([data-testid=""cart-next""]) | 2. valid -> Continue to Payment ([data-testid=""contact-next""]) | 3. valid -> Review Order ([data-testid=""payment-next""]) | 4. default -> Place Order ([data-testid=""place-order""]) | 1. valid -> Continue to Contact ([data-testid=""cart-next""]) | 2. valid -> Continue to Payment ([data-testid=""contact-next""]) | 3. default -> Back to Contact ([data-testid=""payment-back""]) | 4. valid -> Continue to Payment ([data-testid=""contact-next""]) | 5. valid -> Review Order ([data-testid=""payment-next""]) | 6. default -> Place Order ([data-testid=""place-order""])"
"v_a71700cbaffd","F-SETTINGS-1","settings-alt-save-stale","settings","alt-save-stale","settings-profile-save-paths-equivalent","path-equivalence","medium","t_93982d6d1089|t_7cc3481ad291","/settings/alt-save-stale","/settings/alt-save-stale/summary","1. valid -> Save Profile ([data-testid=""save-profile""]) | 1. valid -> Quick Save ([data-testid=""quick-save-profile""])"
"v_c523bde1591e","F-SETTINGS-2","settings-cancel-persists-change","settings","cancel-persists-change","settings-cancel-does-not-save","action-forbidden-state","high","t_0466048ead2d","/settings/cancel-persists-change","/settings/cancel-persists-change/summary","1. valid -> Cancel ([data-testid=""cancel-profile""])"
"v_490b7c4e3b43","F-SETTINGS-3","settings-reset-does-not-clear","settings","reset-does-not-clear","settings-reset-clears-edits","action-forbidden-state","high","t_c278fd5eecaa","/settings/reset-does-not-clear","/settings/reset-does-not-clear/summary","1. valid -> Save Profile ([data-testid=""save-profile""]) | 2. default -> Profile ([data-testid=""nav-settings""]) | 3. default -> Reset ([data-testid=""reset-profile""])"
"v_0b849bc211c0","F-SETTINGS-4","settings-stale-notification","settings","stale-notification","settings-notification-save-paths-equivalent","path-equivalence","medium","t_c202da6eddc6|t_0eeb712f1b64","/settings/stale-notification","/settings/stale-notification/summary","1. default -> Notifications ([data-testid=""nav-notifications""]) | 2. valid -> Save Notifications ([data-testid=""save-notifications""]) | 1. default -> Notifications ([data-testid=""nav-notifications""]) | 2. valid -> Quick Save ([data-testid=""quick-save-notifications""])"
