"fault_id","app","variant","title","expected_invariants","detected","detecting_invariants","violation_ids","baseline_detected","baseline_kinds","counterexample_id"
"F-AUTH-1","auth","auth-bypass","Dashboard bypasses authentication","auth-dashboard-requires-login","true","auth-dashboard-requires-login","v_02d91397e356|v_13aae21c988f|v_4f1a12cec389","true","structural","v_02d91397e356"
"F-AUTH-2","auth","logout-retains-access","Logout does not clear protected access","auth-logout-clears-protected-access","true","auth-logout-clears-protected-access","v_69e967be99b7","false","","v_69e967be99b7"
"F-AUTH-3","auth","role-escalation","User role reaches admin console","auth-admin-requires-admin-login","true","auth-admin-requires-admin-login","v_55cc6dd4d85c","false","","v_55cc6dd4d85c"
"F-AUTH-4","auth","invalid-login-dashboard","Invalid login reaches dashboard","auth-invalid-login-blocks-dashboard","true","auth-invalid-login-blocks-dashboard","v_74667be014c3","false","","v_74667be014c3"
"F-CHECKOUT-1","checkout","invalid-step-progression","Invalid contact advances to payment","checkout-invalid-contact-blocks-payment","true","checkout-invalid-contact-blocks-payment","v_18a1939e81f6|v_582020f26853|v_90a64b8351e4|v_d70348635bc1|v_51c5e96d4052|v_565cd5593129|v_f31bb9e2bb5e|v_521ebc0c5cc1|v_b949820340e5","true","structural","v_18a1939e81f6"
"F-CHECKOUT-2","checkout","skip-payment","Express review bypasses payment","checkout-express-review-requires-payment","true","checkout-express-review-requires-payment","v_3f65e0ddcfb0","false","","v_3f65e0ddcfb0"
"F-CHECKOUT-3","checkout","negative-total","Negative quantity advances checkout","checkout-invalid-cart-blocks-contact","true","checkout-invalid-cart-blocks-contact","v_c633136d65f9|v_3ecaa41f2087|v_53fe843eaf73|v_1939644f6da3|v_551def077435|v_773f335bca1c|v_c39f2c459105|v_d9476d995d45|v_9a6b83b8db67|v_3a2007904eb4|v_779ea30d4823|v_d2ce6798f24a|v_dcedb7054888|v_29744ff021fe","true","structural","v_c633136d65f9"
"F-CHECKOUT-4","checkout","back-loses-contact","Back path loses contact details before confirmation","checkout-confirmation-paths-equivalent","true","checkout-confirmation-paths-equivalent","v_5eb4d41bcc6a","false","","v_5eb4d41bcc6a"
"F-SETTINGS-1","settings","alt-save-stale","Quick profile save writes stale state","settings-profile-save-paths-equivalent","true","settings-profile-save-paths-equivalent","v_a71700cbaffd","false","","v_a71700cbaffd"
"F-SETTINGS-2","settings","cancel-persists-change","Cancel persists an edited display name","settings-cancel-does-not-save","true","settings-cancel-does-not-save","v_c523bde1591e","false","","v_c523bde1591e"
"F-SETTINGS-3","settings","reset-does-not-clear","Reset leaves edited display name in saved state","settings-reset-clears-edits","true","settings-reset-clears-edits","v_490b7c4e3b43","false","","v_490b7c4e3b43"
"F-SETTINGS-4","settings","stale-notification","Quick notification save discards notification state","settings-notification-save-paths-equivalent","true","settings-notification-save-paths-equivalent","v_0b849bc211c0","false","","v_0b849bc211c0"
"F-TRANSFER-1","transfer","invalid-amount-progression","Invalid amount advances to recipient","transfer-invalid-amount-blocks-recipient","true","transfer-invalid-amount-blocks-recipient","v_70d3394c8db8|v_0aa542cdef4e|v_fc93168116eb|v_44091feaeacb|v_160d5b77fae5|v_ee4dbce0488e|v_69ae996387b6|v_924ce1e6a502|v_b64ac33aa009|v_df772e515ea9|v_4e36e802cb4e","true","structural","v_70d3394c8db8"
"F-TRANSFER-2","transfer","invalid-recipient-progression","Invalid recipient advances to review","transfer-invalid-recipient-blocks-review","true","transfer-invalid-recipient-blocks-review","v_43887dce489b|v_994ae10b806b|v_dc768872add8|v_888c9e185d93|v_c13271fb8126|v_1dc58a56ab3d|v_9e9c5d473cf3","true","structural","v_43887dce489b"
"F-TRANSFER-3","transfer","skip-confirmation","Confirmation reachable without explicit confirm action","transfer-confirmation-requires-confirm-action","true","transfer-confirmation-requires-confirm-action","v_10b4888ead8f|v_55c317f94780|v_3a5f14411412","false","","v_10b4888ead8f"
"F-TRANSFER-4","transfer","back-loses-transfer","Back/edit transfer path loses amount before receipt","transfer-confirmation-paths-equivalent","true","transfer-confirmation-paths-equivalent","v_20003d5f6a60","false","","v_20003d5f6a60"
