"subject","app","variant","expected_faults","relational_violations","structural_detected","visual_detected","states","edges","traces","duration_ms"
"auth-clean","auth","clean","0","0","false","false","10","19","18","9146"
"auth-auth-bypass","auth","auth-bypass","1","4","true","false","11","19","18","8742"
"auth-logout-retains-access","auth","logout-retains-access","1","1","false","false","10","19","18","8869"
"auth-role-escalation","auth","role-escalation","1","1","false","false","9","19","18","8748"
"auth-invalid-login-dashboard","auth","invalid-login-dashboard","1","1","false","false","9","19","18","8748"
"checkout-clean","checkout","clean","0","0","false","false","13","30","28","17592"
"checkout-invalid-step-progression","checkout","invalid-step-progression","1","9","true","false","14","29","28","17550"
"checkout-skip-payment","checkout","skip-payment","1","1","false","false","14","30","28","17542"
"checkout-negative-total","checkout","negative-total","1","14","true","false","13","28","28","15986"
"checkout-back-loses-contact","checkout","back-loses-contact","1","1","false","false","15","33","30","19149"
"settings-clean","settings","clean","0","0","false","false","9","19","20","7610"
"settings-alt-save-stale","settings","alt-save-stale","1","1","false","false","9","19","20","7783"
"settings-cancel-persists-change","settings","cancel-persists-change","1","1","false","false","9","19","20","7731"
"settings-reset-does-not-clear","settings","reset-does-not-clear","1","1","false","false","9","19","20","7735"
"settings-stale-notification","settings","stale-notification","1","1","false","false","9","19","20","7733"
