"subject","app","variant","states","transitions","traces","unique_actions","avg_trace_length","max_trace_length","runtime_ms","runtime_seconds","states_per_second","transitions_per_second"
"auth-clean","auth","clean","10","19","18","10","1.72","4","9692","9.69","1.03","1.96"
"auth-auth-bypass","auth","auth-bypass","11","19","18","10","1.78","4","9067","9.07","1.21","2.10"
"auth-logout-retains-access","auth","logout-retains-access","10","19","18","10","1.72","4","9071","9.07","1.10","2.09"
"auth-role-escalation","auth","role-escalation","9","19","18","10","1.72","4","9035","9.04","1.00","2.10"
"auth-invalid-login-dashboard","auth","invalid-login-dashboard","9","19","18","10","1.72","4","9055","9.05","0.99","2.10"
"checkout-clean","checkout","clean","13","30","28","11","2.29","6","18490","18.49","0.70","1.62"
"checkout-invalid-step-progression","checkout","invalid-step-progression","14","29","28","10","2.29","6","18214","18.21","0.77","1.59"
"checkout-skip-payment","checkout","skip-payment","14","30","28","11","2.29","6","18424","18.42","0.76","1.63"
"checkout-negative-total","checkout","negative-total","13","28","28","11","2.07","6","16676","16.68","0.78","1.68"
"checkout-back-loses-contact","checkout","back-loses-contact","15","33","30","11","2.33","6","19970","19.97","0.75","1.65"
"settings-clean","settings","clean","9","19","20","9","1.2","3","8105","8.11","1.11","2.34"
"settings-alt-save-stale","settings","alt-save-stale","9","19","20","9","1.2","3","8050","8.05","1.12","2.36"
"settings-cancel-persists-change","settings","cancel-persists-change","9","19","20","9","1.2","3","7984","7.98","1.13","2.38"
"settings-reset-does-not-clear","settings","reset-does-not-clear","9","19","20","9","1.2","3","8068","8.07","1.12","2.35"
"settings-stale-notification","settings","stale-notification","9","19","20","9","1.2","3","8085","8.09","1.11","2.35"
"transfer-clean","transfer","clean","12","25","24","8","2.04","5","14215","14.21","0.84","1.76"
"transfer-invalid-amount-progression","transfer","invalid-amount-progression","13","24","24","9","1.92","5","13567","13.57","0.96","1.77"
"transfer-invalid-recipient-progression","transfer","invalid-recipient-progression","14","25","24","8","2.04","5","13996","14.00","1.00","1.79"
"transfer-skip-confirmation","transfer","skip-confirmation","13","25","24","8","2.04","5","14266","14.27","0.91","1.75"
"transfer-back-loses-transfer","transfer","back-loses-transfer","15","28","26","9","2.12","5","16051","16.05","0.93","1.74"
