"id","subject","invariant","type","severity","trace_ids","state_ids","title"
"v_02d91397e356","auth-auth-bypass","auth-dashboard-requires-login","auth-precondition","critical","t_7ef308de435b","s_00a49100779d|s_693c2edca823","Dashboard access must be preceded by a successful login action."
"v_13aae21c988f","auth-auth-bypass","auth-dashboard-requires-login","auth-precondition","critical","t_8a1e592e2e16","s_00a49100779d|s_693c2edca823","Dashboard access must be preceded by a successful login action."
"v_4f1a12cec389","auth-auth-bypass","auth-dashboard-requires-login","auth-precondition","critical","t_e73944046bb1","s_00a49100779d|s_693c2edca823|s_693c2edca823","Dashboard access must be preceded by a successful login action."
"v_fe36e7516844","auth-auth-bypass","auth-logout-clears-protected-access","action-forbidden-state","critical","t_519eb8b00d1d","s_00a49100779d|s_d28f51fa1b00|s_40aff46e1937|s_361ec819d050|s_693c2edca823","Protected pages must not be reachable after logout."
"v_69e967be99b7","auth-logout-retains-access","auth-logout-clears-protected-access","action-forbidden-state","critical","t_519eb8b00d1d","s_d8505850d93d|s_66f3774cf417|s_69d58cc9a709|s_33b92a4abe70|s_69d58cc9a709","Protected pages must not be reachable after logout."
"v_55cc6dd4d85c","auth-role-escalation","auth-admin-requires-admin-login","auth-precondition","critical","t_50263663be80","s_d7c20baf0817|s_8747cabeacc6|s_382d3f095369|s_8c7e60168213","Admin Console access must be preceded by the admin login action."
"v_74667be014c3","auth-invalid-login-dashboard","auth-invalid-login-blocks-dashboard","validation-blocking","high","t_97c034278884","s_f0fb11eb43ea|s_98b838d77deb|s_d813b40e0e84","Invalid credentials must not reach the dashboard."
"v_18a1939e81f6","checkout-invalid-step-progression","checkout-invalid-contact-blocks-payment","validation-blocking","high","t_a37ea7ad8870","s_fe1fe81a3ea6|s_9aec5b5247d7|s_ddf89d7c67f5","Invalid contact information must not advance to payment."
"v_582020f26853","checkout-invalid-step-progression","checkout-invalid-contact-blocks-payment","validation-blocking","high","t_028295fe14fd","s_fe1fe81a3ea6|s_9aec5b5247d7|s_ddf89d7c67f5","Invalid contact information must not advance to payment."
"v_90a64b8351e4","checkout-invalid-step-progression","checkout-invalid-contact-blocks-payment","validation-blocking","high","t_d06b5dacbb64","s_fe1fe81a3ea6|s_9aec5b5247d7|s_ddf89d7c67f5","Invalid contact information must not advance to payment."
